index,snr_db,clean,noisy,seconds,clean_sha256,noisy_sha256
0,2.5,clean/lsm_0000_snr2.5.wav,noisy/lsm_0000_snr2.5.wav,25.415,3b54adb0a6b4419d211f2fc2932b479673ef8b2240bc81ae76323cf545bcfdbc,00ef25f928ff0c33d8419841e4855f1fdd73c8db9ec90fbe09cec5f623755e79
1,7.5,clean/lsm_0001_snr7.5.wav,noisy/lsm_0001_snr7.5.wav,6.24,970b0a571cf92773baabc9749f610e8d5f2da3c8913ac0f73774b1a921798513,16a983940f1406b5b963bc4fc154f93bb9367cd956f0d4dd584e13011515c440
2,12.5,clean/lsm_0002_snr12.5.wav,noisy/lsm_0002_snr12.5.wav,5.655,17e389c8e487c73a6d6406846565e34face9d31749523158a2cea78c0d2d1f0b,6d7052a5ae933f878dbfbaa774714c4315874179e846df4682e7ec8f1132519b
3,17.5,clean/lsm_0003_snr17.5.wav,noisy/lsm_0003_snr17.5.wav,7.26,3ea9e5c43e475bd31b2af7f462fc30e11194ad9c7be6c37598d3f9f255d2df20,7fedf3112739f7cad6aed3b88400b7361e3b3420434cf4d337ec2c4744ee2cd0
4,2.5,clean/lsm_0004_snr2.5.wav,noisy/lsm_0004_snr2.5.wav,9.005,4044a6f2d77229048bb0d53d589e1436711ec58e84817f414fd868d2760bdaac,adec9cf1a9b230db303f38dbdaab04f156159ec9ed3c5777757cccc0aef9b4fd
5,7.5,clean/lsm_0005_snr7.5.wav,noisy/lsm_0005_snr7.5.wav,20.65,42af332e59748c80128cb84f5e5251841395683c2b872cdddbc7d6a1879c7a75,05f8ffde1f99e3cdd2c36161128c1d397b02f489fbe747cd76450f2c4fef9a03
6,12.5,clean/lsm_0006_snr12.5.wav,noisy/lsm_0006_snr12.5.wav,3.945,4126fb30c221f5c8d289b9f64a83c26f1f3d730acdf92d152085c2faac261821,33d4f2d78a8f955692c58c3c9a12581586047b5d185afc47b63f18d8070dba2e
7,17.5,clean/lsm_0007_snr17.5.wav,noisy/lsm_0007_snr17.5.wav,31.615,27a9450f7d2e7f4a3f6fdf9d4c7632d35d25dfd27b58becfa8b71c8e01b344c9,39f6a6988e66923b4c52eab143b22a35486081a5f35889a42bfee9d260ca1d2b
8,2.5,clean/lsm_0008_snr2.5.wav,noisy/lsm_0008_snr2.5.wav,5.06,aaa3298f62b122e06baeb23163e46aa2e950d683069e1279305e6109712c1c37,14910356d10a91399019347497a8a09667c0d9b244ba046edff6f2a71d39cd7a
9,7.5,clean/lsm_0009_snr7.5.wav,noisy/lsm_0009_snr7.5.wav,6.72,0b4a1ed583156451cfd59e19d0793df4d2efccc3b86f7e25fe8d2a8845ee87ba,098cec0b5659d2d936bf78e71314949017ed72b7fdb5008bd893cb4bab20e8e5
